iter	Passed	Remaining
0	215	107445
1	286	71355
2	358	59390
3	404	50176
4	458	45432
5	501	41281
6	543	38306
7	585	35992
8	630	34424
9	683	33501
10	730	32481
11	782	31804
12	823	30845
13	864	30007
14	906	29319
15	954	28879
16	997	28347
17	1038	27799
18	1077	27287
19	1124	26993
20	1165	26576
21	1208	26265
22	1247	25877
23	1286	25519
24	1331	25289
25	1367	24938
26	1406	24647
27	1448	24424
28	1485	24132
29	1526	23909
30	1563	23657
31	1611	23566
32	1664	23551
33	1713	23479
34	1756	23335
35	1794	23124
36	1838	23008
37	1877	22831
38	1917	22671
39	1959	22532
40	2001	22412
41	2042	22272
42	2082	22134
43	2122	21993
44	2161	21850
45	2201	21728
46	2239	21589
47	2281	21480
48	2322	21372
49	2348	21135
50	2390	21045
51	2441	21038
52	2489	20998
53	2550	21064
54	2609	21112
55	2665	21130
56	2720	21147
57	2764	21066
58	2808	20990
59	2850	20901
60	2895	20839
61	2937	20751
62	2978	20660
63	3017	20558
64	3059	20471
65	3099	20382
66	3141	20300
67	3180	20206
68	3219	20107
69	3258	20016
70	3297	19922
71	3337	19839
72	3375	19745
73	3419	19683
74	3464	19634
75	3530	19698
76	3573	19629
77	3611	19541
78	3636	19376
79	3674	19292
80	3713	19211
81	3752	19126
82	3792	19054
83	3831	18972
84	3869	18892
85	3899	18773
86	3943	18719
87	3987	18666
88	4026	18594
89	4069	18539
90	4108	18466
91	4146	18387
92	4185	18318
93	4214	18201
94	4256	18146
95	4297	18083
96	4338	18026
97	4378	17959
98	4418	17899
99	4467	17870
100	4507	17808
101	4549	17752
102	4592	17702
103	4661	17747
104	4761	17913
105	4839	17987
106	4891	17964
107	4954	17981
108	5012	17979
109	5076	17998
110	5134	17993
111	5198	18009
112	5250	17980
113	5306	17966
114	5365	17964
115	5424	17956
116	5474	17919
117	5540	17936
118	5589	17894
119	5638	17855
120	5689	17819
121	5737	17775
122	5787	17739
123	5851	17744
124	5910	17732
125	5971	17725
126	6024	17692
127	6095	17714
128	6156	17705
129	6197	17640
130	6240	17578
131	6283	17516
132	6325	17453
133	6366	17387
134	6411	17335
135	6460	17290
136	6552	17361
137	6597	17306
138	6639	17244
139	6703	17238
140	6759	17210
141	6815	17182
142	6887	17193
143	6936	17148
144	6984	17100
145	7029	17044
146	7071	16982
147	7113	16917
148	7157	16859
149	7208	16819
150	7251	16759
151	7293	16697
152	7333	16632
153	7376	16572
154	7418	16511
155	7459	16448
156	7501	16388
157	7544	16330
158	7589	16277
159	7632	16219
160	7676	16163
161	7726	16119
162	7773	16072
163	7818	16017
164	7860	15959
165	7902	15900
166	7948	15849
167	7997	15804
168	8050	15766
169	8093	15710
170	8134	15650
171	8180	15600
172	8227	15550
173	8273	15501
174	8322	15455
175	8366	15401
176	8408	15345
177	8452	15291
178	8501	15244
179	8544	15190
180	8585	15130
181	8628	15075
182	8725	15113
183	8777	15075
184	8822	15021
185	8869	14972
186	8913	14919
187	8961	14871
188	9008	14823
189	9052	14770
190	9104	14728
191	9148	14675
192	9189	14617
193	9234	14566
194	9279	14513
195	9324	14461
196	9370	14413
197	9468	14441
198	9529	14413
199	9572	14358
200	9616	14304
201	9658	14249
202	9699	14191
203	9742	14136
204	9785	14080
205	9827	14025
206	9869	13970
207	9910	13912
208	9952	13857
209	10002	13812
210	10100	13833
211	10162	13805
212	10216	13765
213	10269	13724
214	10318	13677
215	10370	13635
216	10422	13592
217	10469	13542
218	10517	13495
219	10568	13450
220	10618	13405
221	10668	13359
222	10723	13319
223	10774	13275
224	10825	13231
225	10874	13184
226	10920	13133
227	10964	13080
228	11006	13024
229	11053	12975
230	11109	12936
231	11166	12898
232	11220	12858
233	11273	12814
234	11317	12762
235	11359	12707
236	11424	12677
237	11497	12656
238	11568	12633
239	11616	12584
240	11660	12531
241	11700	12473
242	11740	12416
243	11781	12361
244	11823	12305
245	11864	12249
246	11907	12197
247	11954	12147
248	12020	12117
249	12091	12091
250	12145	12048
251	12194	12001
252	12236	11946
253	12278	11891
254	12321	11838
255	12365	11785
256	12413	11736
257	12456	11683
258	12501	11632
259	12546	11581
260	12592	11530
261	12638	11480
262	12689	11434
263	12737	11386
264	12779	11332
265	12821	11278
266	12862	11224
267	12906	11172
268	12952	11122
269	12997	11072
270	13045	11023
271	13091	10973
272	13133	10920
273	13175	10867
274	13223	10819
275	13266	10766
276	13314	10718
277	13360	10668
278	13407	10620
279	13455	10572
280	13499	10521
281	13545	10471
282	13590	10421
283	13637	10372
284	13686	10324
285	13753	10290
286	13806	10246
287	13850	10195
288	13895	10144
289	13938	10093
290	13986	10045
291	14036	9998
292	14090	9954
293	14145	9911
294	14203	9870
295	14332	9877
296	14388	9834
297	14452	9796
298	14510	9754
299	14577	9718
300	14639	9678
301	14694	9634
302	14751	9590
303	14815	9552
304	14876	9511
305	14927	9464
306	14988	9423
307	15052	9383
308	15128	9351
309	15240	9341
310	15308	9303
311	15358	9254
312	15400	9201
313	15446	9149
314	15491	9098
315	15535	9045
316	15578	8993
317	15621	8940
318	15665	8888
319	15711	8837
320	15755	8785
321	15798	8733
322	15841	8681
323	15890	8632
324	15938	8582
325	15986	8532
326	16027	8479
327	16069	8426
328	16112	8374
329	16155	8322
330	16194	8268
331	16237	8216
332	16279	8164
333	16320	8111
334	16362	8059
335	16407	8008
336	16449	7956
337	16494	7905
338	16544	7857
339	16587	7805
340	16629	7754
341	16671	7701
342	16712	7649
343	16753	7597
344	16792	7544
345	16834	7492
346	16875	7440
347	16920	7390
348	16968	7341
349	17008	7289
350	17047	7236
351	17090	7185
352	17128	7133
353	17174	7083
354	17217	7032
355	17258	6981
356	17299	6929
357	17340	6878
358	17380	6826
359	17426	6776
360	17467	6725
361	17508	6674
362	17553	6624
363	17594	6573
364	17636	6523
365	17678	6472
366	17719	6421
367	17759	6370
368	17800	6319
369	17840	6268
370	17881	6217
371	17922	6166
372	17969	6118
373	18021	6071
374	18067	6022
375	18109	5972
376	18152	5922
377	18193	5871
378	18233	5821
379	18278	5772
380	18319	5721
381	18360	5671
382	18403	5621
383	18441	5570
384	18483	5521
385	18523	5470
386	18564	5420
387	18608	5371
388	18654	5322
389	18701	5274
390	18743	5225
391	18783	5174
392	18824	5125
393	18865	5075
394	18906	5025
395	18946	4975
396	18986	4925
397	19029	4876
398	19072	4827
399	19113	4778
400	19156	4729
401	19199	4680
402	19237	4630
403	19279	4581
404	19318	4531
405	19359	4482
406	19405	4434
407	19449	4385
408	19489	4336
409	19531	4287
410	19570	4237
411	19609	4188
412	19652	4139
413	19694	4091
414	19735	4042
415	19780	3994
416	19823	3945
417	19870	3897
418	19921	3851
419	19972	3804
420	20018	3756
421	20064	3708
422	20115	3661
423	20223	3624
424	20290	3580
425	20337	3532
426	20386	3485
427	20434	3437
428	20480	3389
429	20521	3340
430	20561	3291
431	20602	3242
432	20642	3194
433	20681	3145
434	20724	3096
435	20767	3048
436	20810	3000
437	20854	2951
438	20895	2903
439	20938	2855
440	20979	2806
441	21021	2758
442	21063	2710
443	21109	2662
444	21150	2614
445	21191	2565
446	21232	2517
447	21274	2469
448	21313	2420
449	21354	2372
450	21402	2325
451	21444	2277
452	21486	2229
453	21533	2181
454	21577	2134
455	21622	2086
456	21663	2038
457	21705	1990
458	21748	1942
459	21788	1894
460	21832	1846
461	21873	1799
462	21916	1751
463	21957	1703
464	22000	1655
465	22041	1608
466	22084	1560
467	22125	1512
468	22166	1465
469	22208	1417
470	22247	1369
471	22289	1322
472	22330	1274
473	22372	1227
474	22415	1179
475	22456	1132
476	22500	1084
477	22542	1037
478	22595	990
479	22641	943
480	22690	896
481	22735	849
482	22780	801
483	22821	754
484	22862	707
485	22904	659
486	22947	612
487	22988	565
488	23029	518
489	23071	470
490	23114	423
491	23155	376
492	23196	329
493	23237	282
494	23278	235
495	23321	188
496	23361	141
497	23404	93
498	23444	46
499	23489	0
